time,lon,lat,PMSL
01/07/1979 (00:00),-120.278,42.7008,101974
01/07/1979 (00:00),-119.89,42.7512,102142
01/07/1979 (00:00),-119.501,42.8002,102289
01/07/1979 (00:00),-119.111,42.8476,102384
01/07/1979 (00:00),-118.721,42.8936,102444
01/07/1979 (00:00),-118.33,42.9381,102517
01/07/1979 (00:00),-117.938,42.9811,102699
01/07/1979 (00:00),-117.546,43.0225,102761
01/07/1979 (00:00),-117.153,43.0625,102674
01/07/1979 (00:00),-116.759,43.101,102698
01/07/1979 (00:00),-116.365,43.138,102857
01/07/1979 (00:00),-115.971,43.1734,102909
01/07/1979 (00:00),-115.576,43.2074,102812
01/07/1979 (00:00),-115.18,43.2398,102678
01/07/1979 (00:00),-114.785,43.2707,102625
01/07/1979 (00:00),-114.388,43.3,102712
01/07/1979 (00:00),-113.991,43.3279,102713
01/07/1979 (00:00),-113.594,43.3542,102777
01/07/1979 (00:00),-113.197,43.379,102864
01/07/1979 (00:00),-112.799,43.4022,102975
01/07/1979 (00:00),-127.976,41.6676,101233
01/07/1979 (00:00),-127.604,41.7469,101274
01/07/1979 (00:00),-127.231,41.8249,101313
01/07/1979 (00:00),-126.856,41.9014,101350
01/07/1979 (00:00),-126.481,41.9766,101387
01/07/1979 (00:00),-126.104,42.0504,101426
01/07/1979 (00:00),-125.727,42.1228,101464
01/07/1979 (00:00),-125.348,42.1938,101497
01/07/1979 (00:00),-124.969,42.2633,101530
01/07/1979 (00:00),-124.589,42.3315,101543
01/07/1979 (00:00),-124.208,42.3982,101549
01/07/1979 (00:00),-123.825,42.4635,101551
01/07/1979 (00:00),-123.442,42.5274,101547
01/07/1979 (00:00),-123.059,42.5898,101562
01/07/1979 (00:00),-122.674,42.6508,101587
01/07/1979 (00:00),-122.288,42.7103,101595
01/07/1979 (00:00),-121.902,42.7684,101635
01/07/1979 (00:00),-121.514,42.825,101706
01/07/1979 (00:00),-121.126,42.8801,101774
01/07/1979 (00:00),-120.738,42.9338,101960
01/07/1979 (00:00),-120.348,42.986,102168
01/07/1979 (00:00),-119.958,43.0367,102321
01/07/1979 (00:00),-119.567,43.0859,102432
01/07/1979 (00:00),-119.175,43.1337,102540
01/07/1979 (00:00),-118.783,43.1799,102642
01/07/1979 (00:00),-118.39,43.2246,102711
01/07/1979 (00:00),-117.996,43.2679,102764
01/07/1979 (00:00),-117.602,43.3096,102811
01/07/1979 (00:00),-117.207,43.3498,102841
01/07/1979 (00:00),-116.811,43.3885,102868
01/07/1979 (00:00),-116.415,43.4257,102933
01/07/1979 (00:00),-116.019,43.4614,102859
01/07/1979 (00:00),-115.622,43.4955,102581
01/07/1979 (00:00),-115.224,43.5281,102304
01/07/1979 (00:00),-114.826,43.5592,102194
01/07/1979 (00:00),-114.428,43.5887,102263
01/07/1979 (00:00),-114.029,43.6167,102346
01/07/1979 (00:00),-113.63,43.6432,102469
01/07/1979 (00:00),-113.23,43.6681,102747
01/07/1979 (00:00),-112.83,43.6915,102927
01/07/1979 (00:00),-128.084,41.9454,101239
01/07/1979 (00:00),-127.71,42.0251,101279
01/07/1979 (00:00),-127.335,42.1035,101317
01/07/1979 (00:00),-126.959,42.1805,101353
01/07/1979 (00:00),-126.581,42.2561,101390
01/07/1979 (00:00),-126.203,42.3303,101427
01/07/1979 (00:00),-125.824,42.4031,101464
01/07/1979 (00:00),-125.444,42.4745,101497
01/07/1979 (00:00),-125.063,42.5445,101524
01/07/1979 (00:00),-124.681,42.613,101545
01/07/1979 (00:00),-124.297,42.6801,101558
01/07/1979 (00:00),-123.913,42.7458,101549
01/07/1979 (00:00),-123.529,42.81,101555
01/07/1979 (00:00),-123.143,42.8728,101570
01/07/1979 (00:00),-122.756,42.9341,101599
01/07/1979 (00:00),-122.369,42.994,101610
01/07/1979 (00:00),-121.98,43.0524,101638
01/07/1979 (00:00),-121.591,43.1094,101742
01/07/1979 (00:00),-121.201,43.1648,101907
01/07/1979 (00:00),-120.81,43.2188,102114
01/07/1979 (00:00),-120.419,43.2713,102320
01/07/1979 (00:00),-120.026,43.3223,102447
01/07/1979 (00:00),-119.633,43.3718,102523
01/07/1979 (00:00),-119.24,43.4198,102606
01/07/1979 (00:00),-118.845,43.4663,102663
01/07/1979 (00:00),-118.45,43.5113,102735
01/07/1979 (00:00),-118.055,43.5548,102809
01/07/1979 (00:00),-117.658,43.5968,102870
