time,lon,lat,H500
01/01/1979 (00:00),-126.104,42.0504,5660.71
01/01/1979 (00:00),-125.727,42.1228,5655.71
01/01/1979 (00:00),-125.348,42.1938,5650.21
01/01/1979 (00:00),-124.969,42.2633,5644.71
01/01/1979 (00:00),-124.589,42.3315,5638.71
01/01/1979 (00:00),-124.208,42.3982,5632.71
01/01/1979 (00:00),-123.825,42.4635,5626.21
01/01/1979 (00:00),-123.442,42.5274,5618.71
01/01/1979 (00:00),-123.059,42.5898,5610.21
01/01/1979 (00:00),-122.674,42.6508,5601.71
01/01/1979 (00:00),-122.288,42.7103,5593.21
01/01/1979 (00:00),-121.902,42.7684,5582.71
01/01/1979 (00:00),-121.514,42.825,5571.71
01/01/1979 (00:00),-121.126,42.8801,5559.71
01/01/1979 (00:00),-120.738,42.9338,5546.21
01/01/1979 (00:00),-120.348,42.986,5531.71
01/01/1979 (00:00),-119.958,43.0367,5517.71
01/01/1979 (00:00),-119.567,43.0859,5502.71
01/01/1979 (00:00),-119.175,43.1337,5487.21
01/01/1979 (00:00),-118.783,43.1799,5471.71
01/01/1979 (00:00),-118.39,43.2246,5456.71
01/01/1979 (00:00),-117.996,43.2679,5442.21
01/01/1979 (00:00),-117.602,43.3096,5428.21
01/01/1979 (00:00),-117.207,43.3498,5414.71
01/01/1979 (00:00),-116.811,43.3885,5403.21
01/01/1979 (00:00),-116.415,43.4257,5391.71
01/01/1979 (00:00),-116.019,43.4614,5382.71
01/01/1979 (00:00),-115.622,43.4955,5377.71
01/01/1979 (00:00),-115.224,43.5281,5372.21
01/01/1979 (00:00),-114.826,43.5592,5366.21
01/01/1979 (00:00),-114.428,43.5887,5359.71
01/01/1979 (00:00),-114.029,43.6167,5353.71
01/01/1979 (00:00),-113.63,43.6432,5347.71
01/01/1979 (00:00),-113.23,43.6681,5339.71
01/01/1979 (00:00),-112.83,43.6915,5332.71
01/01/1979 (00:00),-128.084,41.9454,5676.71
01/01/1979 (00:00),-127.71,42.0251,5673.21
01/01/1979 (00:00),-127.335,42.1035,5670.21
01/01/1979 (00:00),-126.959,42.1805,5666.71
01/01/1979 (00:00),-126.581,42.2561,5662.71
01/01/1979 (00:00),-126.203,42.3303,5657.71
01/01/1979 (00:00),-125.824,42.4031,5652.71
01/01/1979 (00:00),-125.444,42.4745,5647.71
01/01/1979 (00:00),-125.063,42.5445,5642.21
01/01/1979 (00:00),-124.681,42.613,5636.21
01/01/1979 (00:00),-124.297,42.6801,5629.71
01/01/1979 (00:00),-123.913,42.7458,5624.21
01/01/1979 (00:00),-123.529,42.81,5616.21
01/01/1979 (00:00),-123.143,42.8728,5608.21
01/01/1979 (00:00),-122.756,42.9341,5599.71
01/01/1979 (00:00),-122.369,42.994,5590.71
01/01/1979 (00:00),-121.98,43.0524,5581.21
01/01/1979 (00:00),-121.591,43.1094,5569.21
01/01/1979 (00:00),-121.201,43.1648,5556.21
01/01/1979 (00:00),-120.81,43.2188,5542.71
01/01/1979 (00:00),-120.419,43.2713,5528.21
01/01/1979 (00:00),-120.026,43.3223,5513.21
01/01/1979 (00:00),-119.633,43.3718,5498.21
01/01/1979 (00:00),-119.24,43.4198,5482.71
01/01/1979 (00:00),-118.845,43.4663,5467.21
01/01/1979 (00:00),-118.45,43.5113,5451.71
01/01/1979 (00:00),-118.055,43.5548,5437.21
01/01/1979 (00:00),-117.658,43.5968,5423.21
01/01/1979 (00:00),-117.261,43.6372,5409.21
01/01/1979 (00:00),-116.864,43.6762,5396.21
01/01/1979 (00:00),-116.466,43.7136,5386.71
01/01/1979 (00:00),-116.067,43.7494,5380.71
01/01/1979 (00:00),-115.668,43.7838,5375.71
01/01/1979 (00:00),-115.268,43.8166,5370.21
01/01/1979 (00:00),-114.868,43.8478,5364.71
01/01/1979 (00:00),-114.468,43.8775,5358.71
01/01/1979 (00:00),-114.067,43.9057,5352.71
01/01/1979 (00:00),-113.665,43.9323,5346.21
01/01/1979 (00:00),-113.263,43.9574,5338.71
01/01/1979 (00:00),-112.861,43.9809,5331.21
